order_id,customer_id,product,region,quarter,year,quantity,unit_price,revenue,sales_rep,channel
O00001,CUST0264,Pro Plan,LATAM,Q3,2023,42,1951.38,81957.96,REP020,Partner
O00002,CUST0084,API Credits,LATAM,Q3,2023,26,2137.78,55582.28,REP026,Inside Sales
O00003,CUST0206,Add-on Analytics,EMEA,Q3,2025,20,769.45,15389.0,REP026,Online
O00004,CUST0080,Pro Plan,NA,Q3,2023,16,1180.15,18882.4,REP002,Direct
O00005,CUST0038,Starter,APAC,Q2,2023,29,358.97,10410.13,REP023,Online
O00006,CUST0063,API Credits,APAC,Q2,2025,31,1116.57,34613.67,REP030,Partner
O00007,CUST0201,Enterprise,APAC,Q4,2025,3,942.31,2826.93,REP003,Direct
O00008,CUST0255,Add-on Analytics,LATAM,Q1,2024,25,507.08,12677.0,REP026,Online
O00009,CUST0217,API Credits,APAC,Q4,2023,21,1875.94,39394.74,REP030,Partner
O00010,CUST0250,Starter,EMEA,Q1,2023,17,1068.71,18168.07,REP002,Partner
O00011,CUST0143,Enterprise,EMEA,Q2,2025,39,1263.63,49281.57,REP014,Direct
O00012,CUST0191,Starter,NA,Q1,2025,24,1792.84,43028.16,REP004,Inside Sales
O00013,CUST0259,Starter,LATAM,Q2,2023,10,864.67,8646.7,REP029,Partner
O00014,CUST0281,Starter,LATAM,Q4,2025,3,1164.63,3493.89,REP002,Online
O00015,CUST0033,Add-on Analytics,LATAM,Q3,2023,27,1493.83,40333.41,REP030,Inside Sales
O00016,CUST0136,Starter,NA,Q2,2024,38,596.1,22651.8,REP027,Partner
O00017,CUST0118,Pro Plan,EMEA,Q3,2024,17,60.5,1028.5,REP027,Inside Sales
O00018,CUST0039,Starter,LATAM,Q2,2024,1,1103.53,1103.53,REP001,Online
O00019,CUST0283,Starter,NA,Q1,2024,38,572.87,21769.06,REP028,Partner
O00020,CUST0280,API Credits,EMEA,Q4,2025,47,855.04,40186.88,REP001,Inside Sales
O00021,CUST0246,Pro Plan,NA,Q1,2024,42,651.71,27371.82,REP005,Online
O00022,CUST0213,Enterprise,LATAM,Q2,2025,19,1695.94,32222.86,REP007,Partner
O00023,CUST0159,Add-on AI,NA,Q3,2023,49,2332.77,114305.73,REP003,Partner
O00024,CUST0139,Enterprise,NA,Q1,2023,16,211.66,3386.56,REP025,Inside Sales
O00025,CUST0274,Add-on Analytics,NA,Q3,2023,33,1926.7,63581.1,REP016,Online
O00026,CUST0199,Enterprise,APAC,Q1,2024,6,915.44,5492.64,REP024,Direct
O00027,CUST0083,Add-on AI,EMEA,Q1,2023,11,407.24,4479.64,REP016,Online
O00028,CUST0222,Pro Plan,LATAM,Q1,2024,25,1992.03,49800.75,REP007,Partner
O00029,CUST0035,API Credits,EMEA,Q2,2025,41,1234.39,50609.99,REP027,Inside Sales
O00030,CUST0102,Pro Plan,NA,Q4,2024,21,1624.19,34107.99,REP015,Partner
O00031,CUST0191,API Credits,APAC,Q1,2025,23,91.95,2114.85,REP014,Direct
O00032,CUST0050,Add-on AI,NA,Q3,2024,6,378.5,2271.0,REP019,Partner
O00033,CUST0175,Pro Plan,NA,Q4,2024,36,2490.53,89659.08,REP026,Online
O00034,CUST0151,Pro Plan,NA,Q2,2024,35,2064.3,72250.5,REP002,Online
O00035,CUST0079,Starter,APAC,Q2,2025,17,2048.45,34823.65,REP028,Inside Sales
O00036,CUST0158,API Credits,APAC,Q1,2025,24,234.02,5616.48,REP014,Direct
O00037,CUST0048,Enterprise,NA,Q1,2024,21,502.7,10556.7,REP012,Direct
O00038,CUST0064,Enterprise,EMEA,Q1,2024,50,867.77,43388.5,REP019,Direct
O00039,CUST0282,Add-on AI,NA,Q2,2023,18,813.15,14636.7,REP026,Online
O00040,CUST0021,Starter,LATAM,Q3,2023,26,1893.14,49221.64,REP003,Online
O00041,CUST0049,Add-on AI,NA,Q3,2025,4,385.38,1541.52,REP004,Inside Sales
O00042,CUST0055,Starter,EMEA,Q1,2024,24,1044.67,25072.08,REP019,Partner
O00043,CUST0292,API Credits,NA,Q1,2024,11,503.57,5539.27,REP021,Direct
O00044,CUST0087,API Credits,EMEA,Q4,2023,47,1785.0,83895.0,REP014,Direct
O00045,CUST0097,Add-on Analytics,EMEA,Q3,2025,47,1951.84,91736.48,REP002,Inside Sales
O00046,CUST0271,Starter,APAC,Q2,2025,43,1001.68,43072.24,REP005,Inside Sales
O00047,CUST0064,API Credits,LATAM,Q4,2025,19,709.93,13488.67,REP009,Inside Sales
O00048,CUST0130,API Credits,EMEA,Q1,2023,26,1497.31,38930.06,REP019,Partner
O00049,CUST0021,Enterprise,EMEA,Q1,2025,16,374.5,5992.0,REP024,Direct
O00050,CUST0112,Starter,NA,Q1,2025,26,375.76,9769.76,REP019,Direct
O00051,CUST0008,Add-on Analytics,NA,Q2,2025,8,2083.43,16667.44,REP011,Partner
O00052,CUST0064,Starter,APAC,Q4,2023,10,1824.57,18245.7,REP014,Inside Sales
O00053,CUST0075,Enterprise,LATAM,Q3,2024,43,543.79,23382.97,REP012,Partner
O00054,CUST0224,Pro Plan,APAC,Q2,2024,32,2375.4,76012.8,REP001,Inside Sales
O00055,CUST0031,API Credits,LATAM,Q4,2023,4,1964.41,7857.64,REP017,Online
O00056,CUST0073,Starter,APAC,Q2,2024,8,2209.2,17673.6,REP006,Inside Sales
O00057,CUST0233,Starter,APAC,Q1,2024,49,1347.5,66027.5,REP021,Partner
O00058,CUST0245,Add-on Analytics,APAC,Q4,2023,45,2166.43,97489.35,REP006,Inside Sales
O00059,CUST0121,API Credits,LATAM,Q2,2024,9,92.01,828.09,REP013,Partner
O00060,CUST0268,Starter,NA,Q2,2023,18,1817.04,32706.72,REP009,Online
O00061,CUST0055,Enterprise,APAC,Q4,2023,5,1439.53,7197.65,REP009,Partner
O00062,CUST0002,Enterprise,NA,Q2,2025,32,2444.76,78232.32,REP011,Inside Sales
O00063,CUST0056,API Credits,APAC,Q3,2023,31,523.88,16240.28,REP024,Inside Sales
O00064,CUST0206,API Credits,APAC,Q3,2025,18,1486.17,26751.06,REP004,Inside Sales
O00065,CUST0167,Pro Plan,APAC,Q4,2025,13,2231.13,29004.69,REP012,Inside Sales
O00066,CUST0221,Add-on AI,NA,Q2,2025,22,1258.22,27680.84,REP023,Direct
O00067,CUST0023,Enterprise,LATAM,Q1,2025,9,616.7,5550.3,REP014,Direct
O00068,CUST0070,Enterprise,EMEA,Q1,2025,36,1131.14,40721.04,REP007,Online
O00069,CUST0210,Pro Plan,APAC,Q1,2023,17,78.66,1337.22,REP021,Inside Sales
O00070,CUST0061,Pro Plan,APAC,Q2,2023,22,2312.74,50880.28,REP026,Partner
O00071,CUST0086,API Credits,NA,Q1,2024,45,728.85,32798.25,REP030,Inside Sales
O00072,CUST0258,Add-on AI,EMEA,Q2,2024,22,295.23,6495.06,REP030,Online
O00073,CUST0183,Add-on Analytics,EMEA,Q1,2024,45,904.95,40722.75,REP001,Direct
O00074,CUST0081,Enterprise,NA,Q1,2025,18,521.73,9391.14,REP024,Partner
O00075,CUST0236,Pro Plan,LATAM,Q2,2023,13,374.94,4874.22,REP008,Partner
O00076,CUST0105,Starter,APAC,Q1,2023,47,2284.99,107394.53,REP027,Inside Sales
O00077,CUST0082,Add-on Analytics,LATAM,Q2,2025,5,2092.37,10461.85,REP001,Partner
O00078,CUST0216,Pro Plan,NA,Q3,2023,35,478.98,16764.3,REP025,Partner
O00079,CUST0223,Enterprise,EMEA,Q2,2023,10,1066.88,10668.8,REP009,Online
O00080,CUST0291,Enterprise,LATAM,Q4,2023,39,1355.48,52863.72,REP014,Partner
O00081,CUST0110,API Credits,NA,Q4,2024,21,687.56,14438.76,REP007,Inside Sales
